136,22177,298,271,1188,467,697,262
366,2111,339,783,180,526,23286,638
22940,899,486,967,972,312,648,1343
665,588,2556,1028,586,402,971,376
390,265,271,990,95,1020,260,993
1293,579,1685,2178,836,953,617,619
721,1328,1043,434,813,796,726,636
354,599,1015,392,1652,10,11729,434
516,1065,1080,839,23737,23554,1029,701
134,671,972,1684,324,460,4389,1004
133,21851,1633,465,228,475,479,2126
788,247,863,1210,1335,1164,925,216
873,22340,403,501,900,508,1028,661
267,1363,1190,354,694,556,441,548
25403,441,465,12792,1414,1451,510,885
800,1888,22806,22675,288,795,1372,203
997,1150,349,290,502,328,1195,1038
1076,234,1841,364,309,686,574,616
2862,2809,413,592,238,784,1022,754
497,262,708,162,57,385,509,501
522,807,577,1086,934,638,307,845
594,1264,927,442,1350,511,139,704
121,23084,416,1060,874,678,736,23090
362,17,394,363,22584,540,559,506
284,620,275,333,1563,482,883,888
509,347,1493,725,709,1069,861,1062
326,1033,723,847,585,298,861,522
719,619,865,252,325,871,551,287
1284,1377,334,485,521,691,449,126
568,614,22269,454,533,584,244,237
1175,1562,1040,1693,251,527,172,782
16,2055,256,41,832,1206,599,781
11360,414,287,1127,378,21747,449,966
246,1034,862,84,629,389,560,646
2127,766,1010,2208,686,686,903,823
418,603,375,1347,421,82,21482,197
404,7818,405,22439,863,1583,578,403
514,771,735,669,913,1069,632,3002
1282,1341,379,772,869,1121,1896,1418
957,214,243,701,266,23164,268,753
720,1031,12205,238,496,664,217,349
1034,107,92,561,755,1913,680,626
726,492,837,986,837,1184,1011,2065
588,232,25,23106,142,358,539,630
414,1848,2042,2138,765,221,359,910
458,524,512,356,25763,719,726,739
1647,23026,285,487,403,1251,574,1610
1048,760,515,1234,467,215,1921,709
781,1763,580,1259,200,479,502,308
1052,672,130,345,539,683,636,749
417,463,563,1185,269,903,573,49
134,1462,180,1113,821,669,1253,2842
1021,396,736,845,1299,876,304,253
338,619,1808,462,978,453,751,1363
1531,1091,786,909,21975,695,820,272
1639,684,712,287,904,388,384,569
673,624,2166,400,929,824,1019,736
8190,447,23270,435,925,201,937,938
418,603,375,1347,421,82,21482,197
8190,447,23270,435,925,201,937,938
133,21851,1633,465,228,475,479,2126
134,1462,180,1113,821,669,1253,2842
1647,23026,285,487,403,1251,574,1610
594,1264,927,442,1350,511,139,704
1048,760,515,1234,467,215,1921,709
873,22340,403,501,900,508,1028,661
1284,1377,334,485,521,691,449,126
1282,1341,379,772,869,1121,1896,1418
721,1328,1043,434,813,796,726,636
404,7818,405,22439,863,1583,578,403
11360,414,287,1127,378,21747,449,966
781,1763,580,1259,200,479,502,308
414,1848,2042,2138,765,221,359,910
788,247,863,1210,1335,1164,925,216
121,23084,416,1060,874,678,736,23090
390,265,271,990,95,1020,260,993
1021,396,736,845,1299,876,304,253
284,620,275,333,1563,482,883,888
800,1888,22806,22675,288,795,1372,203
720,1031,12205,238,496,664,217,349
957,214,243,701,266,23164,268,753
458,524,512,356,25763,719,726,739
497,262,708,162,57,385,509,501
719,619,865,252,325,871,551,287
2862,2809,413,592,238,784,1022,754
417,463,563,1185,269,903,573,49
326,1033,723,847,585,298,861,522
1076,234,1841,364,309,686,574,616
362,17,394,363,22584,540,559,506
338,619,1808,462,978,453,751,1363
354,599,1015,392,1652,10,11729,434
726,492,837,986,837,1184,1011,2065
514,771,735,669,913,1069,632,3002
1052,672,130,345,539,683,636,749
