871,775,143,288,322,535,927,422
216,1666,346,846,167,921,127,375
170,406,1165,294,715,22960,503,23289
1241,1894,761,636,299,1040,640,1763
433,582,596,28,2482,426,1729,579
528,1104,1205,368,751,511,764,222
599,768,382,350,602,1241,1168,1170
587,270,627,624,628,511,1456,866
639,1374,489,287,859,600,350,620
708,871,345,1200,594,474,777,560
195,647,824,247,23335,450,366,294
1483,305,826,1077,21619,468,1069,3864
1091,565,347,1133,1033,1342,1355,871
562,426,190,1609,639,667,10647,339
521,417,1143,757,612,656,380,581
244,1323,509,1165,362,865,1044,564
24916,637,301,943,306,1257,741,24161
13264,1515,873,284,739,296,1269,1447
322,469,1081,1004,825,667,508,1066
238,687,765,184,396,346,628,477
207,245,503,1168,854,604,54,989
1692,719,1117,1392,185,156,688,228
609,1313,175,823,685,695,2556,2072
1555,1104,287,587,519,870,98,23444
110,325,947,417,872,444,641,21530
28,237,496,733,420,927,985,330
1730,822,1623,904,579,432,812,1023
726,919,478,877,1040,437,126,553
978,788,895,440,55,765,567,463
1099,527,361,1115,429,183,153,687
218,519,689,412,98,295,191,1452
1324,24072,980,447,552,644,326,1545
1127,834,1345,780,966,1482,1843,711
597,536,1168,1771,88,872,198,704
513,1734,1048,582,118,660,521,1247
535,574,909,1340,22007,416,22528,597
505,815,1438,884,1419,23607,801,22320
21234,1130,1250,614,759,2050,1310,1405
1095,546,775,640,678,380,310,837
806,1430,233,391,154,919,328,922
611,369,3050,127,27825,968,2466,396
1838,666,196,722,675,1775,569,1441
341,695,523,736,715,678,1013,752
1026,531,1221,185,335,559,221,1373
2121,882,293,458,370,659,1672,71
869,1387,250,1165,1243,2313,1064,973
276,2523,734,22591,1319,150,491,65
801,700,618,948,22346,866,296,2830
1981,480,413,1572,27,22279,753,427
1549,1386,95,252,188,1132,527,3533
995,294,343,688,518,1183,983,242
686,12482,23118,913,783,16,1748,772
558,12480,948,173,666,957,3684,478
94,417,22848,548,410,962,1728,645
392,577,1972,451,508,310,3030,1246
365,636,967,503,2641,257,11279,666
1053,258,1969,642,2252,1359,270,1269
1183,646,506,217,421,23254,669,1093
535,574,909,1340,22007,416,22528,597
1183,646,506,217,421,23254,669,1093
195,647,824,247,23335,450,366,294
686,12482,23118,913,783,16,1748,772
276,2523,734,22591,1319,150,491,65
1692,719,1117,1392,185,156,688,228
801,700,618,948,22346,866,296,2830
1091,565,347,1133,1033,1342,1355,871
978,788,895,440,55,765,567,463
1095,546,775,640,678,380,310,837
599,768,382,350,602,1241,1168,1170
505,815,1438,884,1419,23607,801,22320
1127,834,1345,780,966,1482,1843,711
1981,480,413,1572,27,22279,753,427
2121,882,293,458,370,659,1672,71
1483,305,826,1077,21619,468,1069,3864
609,1313,175,823,685,695,2556,2072
433,582,596,28,2482,426,1729,579
558,12480,948,173,666,957,3684,478
110,325,947,417,872,444,641,21530
244,1323,509,1165,362,865,1044,564
611,369,3050,127,27825,968,2466,396
806,1430,233,391,154,919,328,922
869,1387,250,1165,1243,2313,1064,973
238,687,765,184,396,346,628,477
726,919,478,877,1040,437,126,553
322,469,1081,1004,825,667,508,1066
995,294,343,688,518,1183,983,242
1730,822,1623,904,579,432,812,1023
13264,1515,873,284,739,296,1269,1447
1555,1104,287,587,519,870,98,23444
94,417,22848,548,410,962,1728,645
587,270,627,624,628,511,1456,866
341,695,523,736,715,678,1013,752
21234,1130,1250,614,759,2050,1310,1405
1549,1386,95,252,188,1132,527,3533
