87,723,20889,1085,791,191,1330,2096
537,348,98,558,940,848,23693,507
697,970,2008,1218,573,1831,390,1383
947,310,840,529,340,441,1598,423
878,587,450,410,1334,21769,896,240
750,1202,240,500,22667,23154,855,397
366,334,1115,664,295,1352,2296,1071
448,308,767,253,1263,610,22820,124
626,282,786,352,783,732,637,511
431,1059,269,402,1936,610,544,1066
1466,1285,687,1198,323,1808,861,396
1155,810,709,806,744,737,22795,283
1545,764,602,607,677,1572,301,21913
1677,1549,507,628,656,875,10553,980
24907,673,353,1171,490,12535,1008,801
666,488,263,694,21871,633,843,1067
524,1426,162,413,928,2235,1198,1673
23693,1881,854,541,340,471,654,623
869,500,451,164,85,1386,726,339
1541,2022,226,257,879,1224,935,430
551,796,1563,234,69,489,413,430
434,302,403,245,562,12290,863,1443
976,580,969,1654,756,561,42,23
405,357,632,360,943,23352,959,23582
976,561,163,179,589,1346,1201,649
6,22150,22785,22285,457,317,455,1015
1108,854,545,774,575,745,410,1271
1389,760,1076,108,456,470,1067,744
473,601,594,868,1914,1064,539,535
928,231,954,449,103,1161,774,492
1473,1149,566,294,960,479,1282,985
1362,851,304,1147,1144,472,943,784
756,890,1701,22085,706,1172,411,22377
697,1754,503,813,605,932,24601,607
769,207,705,958,921,1155,570,446
196,920,340,795,49,50,65,92
3727,409,1099,22492,618,90,297,885
1000,22220,444,246,736,207,563,578
732,1245,582,1554,1239,799,586,1052
182,466,292,484,279,860,23726,133
1069,838,1394,379,695,868,635,1062
2992,211,1745,507,361,177,747,195
429,1347,922,371,281,667,977,532
457,985,360,535,1202,548,542,433
1549,358,820,757,360,506,776,788
1199,639,1779,398,422,1295,811,713
438,850,225,941,1201,874,524,468
502,701,312,194,1225,785,82,22934
372,442,2002,547,444,2112,829,827
236,294,790,486,1607,336,1154,660
22955,801,1315,100,1777,1527,216,993
612,377,331,508,480,1300,991,1531
740,651,587,655,1414,444,888,690
759,1195,972,1674,1598,317,259,1470
821,360,495,1059,761,1088,950,2839
569,762,717,1632,527,703,921,589
460,806,184,995,496,385,632,834
581,1214,891,1459,490,442,22776,296
196,920,340,795,49,50,65,92
581,1214,891,1459,490,442,22776,296
1466,1285,687,1198,323,1808,861,396
612,377,331,508,480,1300,991,1531
438,850,225,941,1201,874,524,468
434,302,403,245,562,12290,863,1443
502,701,312,194,1225,785,82,22934
1545,764,602,607,677,1572,301,21913
473,601,594,868,1914,1064,539,535
732,1245,582,1554,1239,799,586,1052
366,334,1115,664,295,1352,2296,1071
3727,409,1099,22492,618,90,297,885
756,890,1701,22085,706,1172,411,22377
372,442,2002,547,444,2112,829,827
1549,358,820,757,360,506,776,788
1155,810,709,806,744,737,22795,283
976,580,969,1654,756,561,42,23
878,587,450,410,1334,21769,896,240
740,651,587,655,1414,444,888,690
976,561,163,179,589,1346,1201,649
666,488,263,694,21871,633,843,1067
1069,838,1394,379,695,868,635,1062
182,466,292,484,279,860,23726,133
1199,639,1779,398,422,1295,811,713
1541,2022,226,257,879,1224,935,430
1389,760,1076,108,456,470,1067,744
869,500,451,164,85,1386,726,339
22955,801,1315,100,1777,1527,216,993
1108,854,545,774,575,745,410,1271
23693,1881,854,541,340,471,654,623
405,357,632,360,943,23352,959,23582
759,1195,972,1674,1598,317,259,1470
448,308,767,253,1263,610,22820,124
429,1347,922,371,281,667,977,532
1000,22220,444,246,736,207,563,578
236,294,790,486,1607,336,1154,660
