466,205,1024,13147,786,1185,664,43
680,507,593,535,686,970,523,25192
485,313,1082,552,956,539,636,445
22656,1182,356,749,956,606,593,467
178,500,1281,487,135,324,1027,1063
829,1213,1033,557,2169,829,1680,701
259,1109,725,540,388,302,22013,458
560,1562,655,569,1108,1198,1330,566
434,473,755,880,2516,2769,431,592
22396,1554,1216,1219,367,11510,328,386
1027,1908,170,906,891,252,1697,579
1149,21460,1200,1427,183,488,512,247
266,891,1469,22960,24107,471,386,144
1141,1454,250,602,1026,657,767,816
976,883,491,11449,417,742,1378,560
1003,979,757,606,198,74,1275,348
524,1683,929,833,1265,754,741,255
295,684,1042,669,1135,2704,848,1214
634,549,167,1159,979,22,1309,1642
662,899,980,655,350,468,1832,897
366,22894,858,22642,1379,734,22415,23076
2056,908,818,667,151,23254,548,1163
73,224,917,198,335,966,1717,377
1003,1231,1218,23175,467,844,331,156
434,702,22081,11499,428,909,543,982
794,438,2132,164,775,848,1627,464
752,749,11715,1259,23231,1302,185,1086
1301,1158,1895,60,601,1578,1260,1108
543,378,370,1017,196,22944,700,378
506,585,244,558,841,160,1008,979
833,457,988,797,540,11666,798,23288
392,445,1034,602,456,773,1217,34
294,74,313,23954,1204,414,219,558
670,75,1163,316,21833,330,605,22190
689,1899,414,838,364,180,849,409
1318,2428,505,258,228,316,745,439
533,1713,578,584,335,774,22699,465
597,444,94,266,1886,658,1244,612
1213,140,508,21165,545,873,912,194
533,736,1319,599,443,1777,592,1106
485,901,949,1921,286,266,454,1279
1226,281,560,357,454,1376,903,1508
1146,734,122,681,316,365,535,348
140,528,241,1404,183,831,635,2586
77,198,1843,265,901,1010,1429,420
435,231,1007,482,426,4507,308,79
269,1026,888,434,768,599,3874,817
230,155,22851,154,276,533,326,1293
223,23471,737,303,1258,1927,567,135
97,575,25902,906,26662,618,818,49
265,411,1113,378,1586,7,702,908
1469,557,286,369,400,694,280,785
626,606,192,263,643,1901,370,597
416,557,527,306,417,22111,2061,22301
370,233,355,524,295,314,664,249
375,761,487,548,891,297,840,296
2167,582,2254,426,1119,1137,300,22575
353,513,170,520,211,1544,149,644
