574,949,373,500,188,661,24255,24184
786,1152,715,739,12650,776,860,610
863,1106,823,961,1189,860,747,1506
1348,590,776,846,619,910,1041,1133
276,1001,306,551,429,387,261,1642
831,835,1512,811,1306,1112,1198,181
802,2512,1399,573,693,665,570,701
619,1456,325,467,96,421,731,1109
1196,245,726,385,328,385,891,498
191,1573,643,891,665,21547,299,21215
1519,1004,212,751,1558,943,998,625
293,5,698,473,601,832,795,767
1016,677,665,602,1280,843,846,1024
921,294,796,560,1720,629,1323,2395
285,567,312,1010,431,925,112,841
955,267,688,1461,669,558,683,437
1027,12857,1010,1544,1656,199,528,26119
526,1080,651,571,342,1027,110,1285
342,942,329,31,171,595,654,272
22759,783,1001,107,1378,783,878,473
22863,553,572,1025,1168,293,362,473
515,2173,483,524,2052,865,787,741
1969,782,553,443,938,519,1525,464
1363,226,1238,1130,406,532,691,171
1193,639,598,582,169,1179,577,300
463,402,653,154,390,478,1043,197
366,354,445,487,999,1087,813,1340
568,505,174,1003,268,769,398,31
681,663,114,1019,707,496,485,267
417,524,94,447,651,696,420,1039
22367,150,290,747,233,685,1101,598
516,684,123,692,597,1538,1378,522
21956,623,1119,1277,692,493,946,506
459,868,933,649,234,231,1138,2267
237,61,1262,528,160,819,730,1645
894,1063,1893,983,876,1019,352,1728
1199,75,618,1384,599,742,918,281
794,374,905,906,969,396,725,476
542,192,827,1523,165,21562,1760,128
652,11775,1222,93,817,1221,484,352
808,1250,701,201,757,776,1246,1189
572,98,1083,792,415,314,637,538
659,546,443,2202,464,837,1704,227
187,135,1191,144,1770,651,1773,393
384,376,725,578,1136,486,772,1644
882,1452,439,612,370,961,230,507
240,420,765,1161,442,334,443,416
292,352,509,22707,1524,558,881,496
1265,1061,938,1175,394,2271,1009,22223
2282,1203,381,491,1378,468,780,1878
341,414,681,21550,384,666,84,822
982,410,410,538,1263,425,1494,763
611,471,379,1482,257,328,332,662
22076,337,2641,220,424,454,979,597
573,258,23730,203,1603,23590,342,610
219,893,596,795,1579,725,326,414
756,796,2262,554,102,394,958,22081
700,815,452,903,567,202,665,22679
